,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,삼성중공업,A010140,26850,236280,,실적발표,28379,2962,973,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,5.09,70.02,200.74,,,,,,,,,,,,
,조선,0.00,265.05,17.63,,QOQ,7.71,24.43,-31.47,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,43.31,5.69,13.15,8.10,,83,81,3,6,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,33,퀀트상위(%),67,,,,,,,,,,,,
,-17.32,2.20,-13.80,-5.48,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,155.68,36.07,5.69,0.42,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 자본총계,62753,57975,67463,52489,37182,40973,35719,34092,37495,39453,40950,, 자본총계,37312,37495,38080,36090,39453,40950,
, 지배주주지분,62643,57896,67384,52452,37242,41110,35945,34393,37946,39939,41489,, 지배주주지분,37691,37946,38550,36542,39939,41489,
, 투하자본,97199,82514,69870,74091,69410,64290,65785,63360,58090,50825,59958,, 투하자본,56697,58090,56686,52220,50825,59958,
, 운전자본,32775,20885,11047,16818,14356,8153,13431,11273,6931,-71,8887,, 운전자본,4851,6931,5859,1483,-71,8887,
, 총자산,172175,138182,142829,136001,129221,121386,144917,155934,171947,145394,149488,, 총자산,150760,171947,162812,139418,145394,149488,
, (개별)총자산,164626,132495,136691,132594,126804,118921,147394,158920,169978,143879,147747,, (개별)총자산,149884,169978,161141,138180,143879,147747,
, (개별)부채총계,104729,75816,71040,81155,89932,76694,111866,124485,132750,104461,107066,, (개별)부채총계,113286,132750,123227,102104,104461,107066,
, (개별)자본총계,59897,56679,65651,51439,36872,42227,35528,34435,37228,39418,40681,, (개별)자본총계,36598,37228,37914,36076,39418,40681,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
