,,,,,,,,,,,,,,,,,,,,,
,회사명,코드번호,주가(원),시가총액(억),,25년4Q(E),매출액,영업이익,순익(지배),,,,,,,,,,,,
,삼성전자,A005930,189000,11188116,,실적발표,938374,200737,192921,,,,,,,,,,,,
,업종,시가배당율,부채비율,1년후PER,,YOY,23.82,209.17,154.64,,,,,,,,,,,,
,종합 반도체,0.78,29.94,6.69,,QOQ,9.03,65.00,60.68,,,,,,,,,,,,
,PER,PBR,ROE,OPM,,성장점수,수익점수,안정점수,벨류점수,,,,,,,,,,,,
,25.28,2.64,10.43,13.07,,91,91,78,8,,,,,,,,,,,,
,PER(5년평균),PBR(5년평균),ROE(5년평균),OPM(5년평균),,퀀트점수,91,퀀트상위(%),9,,,,,,,,,,,,
,12.75,1.29,10.29,11.80,,,,,,,,,,,,,,,,,
,고점PER,저점PER,고점PBR,저점PBR,,,,,,,,,,,,,,,,,
,32.38,5.26,2.64,0.81,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연간 손익 요약,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년3Q연환산,25년4Q연환산,,분기 손익 요약,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,
, 비유동자산,1207446,1547696,1646599,1711792,1800201,2084579,2299539,2599694,2874697,2942187,3192575,, 비유동자산,2720723,2874697,2936911,2927145,2942187,3192575,
, 유형자산,914730,1116656,1154167,1198255,1289529,1499285,1680454,1872563,2059452,2048611,2153048,, 유형자산,1950288,2059452,2073858,2050256,2048611,2153048,
, 무형자산,53440,147605,148916,207035,184685,202362,202178,227419,237386,264691,294806,, 무형자산,230775,237386,266951,259977,264691,294806,
, 투자자산,126422,146613,156283,175613,218550,244234,236963,206801,243488,294044,313476,, 투자자산,230622,243488,241196,251080,294044,313476,
, 유동부채,547041,671751,690815,637828,756044,881171,783449,757195,933263,872593,1064113,, 유동부채,870319,933263,902797,844026,872593,1064113,
, 매입채무,312233,377734,404824,409777,469431,582603,587468,535497,615226,587139,681144,, 매입채무,582092,615226,645081,564920,587139,681144,
, 비유동부채,145072,200856,225226,259013,266833,336041,153300,165086,190136,228988,242105,, 비유동부채,179941,190136,194828,209106,228988,242105,
, 순차입금,0,0,0,0,0,0,0,0,0,0,0,, 순차입금,0,0,0,0,0,0,
, 차입금,152824,188140,146671,184120,202174,183921,103332,126859,193302,166723,252391,, 차입금,169319,193302,111439,140297,166723,252391,
, 부채총계,692113,872607,916041,896841,1022877,1217212,936749,922281,1123399,1101581,1306218,, 부채총계,1050260,1123399,1097625,1053132,1101581,1306218,
, 자본총계,1929630,2144914,2477532,2628804,2759480,3048999,3547496,3636779,4021921,4135015,4363203,, 자본총계,3862814,4021921,4066143,3995620,4135015,4363203,
, 지배주주지분,1864243,2072134,2400690,2549155,2676703,2962377,3451861,3532338,3916876,4020011,4243133,, 지배주주지분,3761522,3916876,3958611,3886941,4020011,4243133,
, 투하자본,1064036,1306806,1408675,1449248,1486225,1782633,2033573,2286131,2494235,2547567,2584362,, 투하자본,2425901,2494235,2501060,2499272,2547567,2584362,
, 운전자본,149306,190150,254508,250993,196696,283348,353119,413568,434783,498956,431314,, 운전자본,475613,434783,427202,449016,498956,431314,
, 총자산,2621743,3017521,3393573,3525645,3782357,4266211,4484245,4559060,5145320,5236596,5669421,, 총자산,4913074,5145320,5163768,5048752,5236596,5669421,
, (개별)총자산,1748030,1982414,2190213,2161809,2296644,2511122,2600838,2968573,3249662,3254934,3589021,, (개별)총자산,3233828,3249662,3225380,3220174,3254934,3589021,
, (개별)부채총계,372562,466716,460332,383107,463477,579185,506676,720695,885695,831082,1045720,, (개별)부채총계,833108,885695,846823,846719,831082,1045720,
, (개별)자본총계,1375468,1515698,1729881,1778702,1833167,1931937,2094162,2247878,2363967,2423852,2543301,, (개별)자본총계,2400720,2363967,2378557,2373455,2423852,2543301,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
